Estimert omsetning (eks mva) fra fysiske utsalgssteder,,,,,,,,
Legg til i portefølje,,,,,,,,
"Oppdatert: Januar 30, 2026",,,,,,,,
Data for valgt område,,,,,,,,
Vis,,,,,,,,
#,Navn,Type,Adresse,Kommune,Omsetning,YoY-vekst,Ansatte,Markedsandel
#1,Mal Proff Drammen,Handel / Hus og bygg,SYRETÅRNET 15,Drammen,"NOK 138 mill.

8% av kjede","12%

(%)","7

148 i 13 lokasjoner","6.77%

i området"
#2,Elkjøp,Handel / Elektrobutikker,GULDLISTEN 35,Drammen,"NOK 117 mill.

0.8% av kjede","-3%

(%)","41

3910 i 130 lokasjoner","5.71%

i området"
#3,Rema 1000 Gulskogen,Handel / Mat og drikke,PROFESSOR SMITHS ALLE 54,Drammen,"NOK 97 mill.

0.2% av kjede","0.9%

(%)","25

13090 i 672 lokasjoner","4.78%

i området"
#4,Meny Gulskogen,Handel / Mat og drikke,GULDLISTEN 35,Drammen,"NOK 92 mill.

0.5% av kjede","4%

(%)","40

8981 i 184 lokasjoner","4.51%

i området"
#5,Uno-X Gulskogen,Handel / Bil og Båt,PROFESSOR SMITHS ALLE 56,Drammen,"NOK 88 mill.

0.5% av kjede","5%

(%)","0

28 i 227 lokasjoner","4.33%

i området"
#6,Montér Gulskogen,Handel / Hus og bygg,SYRETÅRNET 3,Drammen,"NOK 80 mill.

0.8% av kjede","-8%

(%)","16

2624 i 160 lokasjoner","3.91%

i området"
#7,Xxl Sport & Villmark Gulskogen,Handel / Sport og fritid,GULDLISTEN 35,Drammen,"NOK 65 mill.

2% av kjede","-11%

(%)","44

2309 i 42 lokasjoner","3.2%

i området"
#8,Apotek 1 Gulskogen,Handel / Annen handel,GULDLISTEN 35,Drammen,"NOK 64 mill.

0.4% av kjede","1%

(%)","23

6981 i 447 lokasjoner","3.13%

i området"
#9,Luxia AS,Handel / Elektrobutikker,LIERSTRANDA,Drammen,"NOK 60 mill.

-","-

(%)","12

12 i 1 lokasjoner","2.94%

i området"
#10,Apotek 1 Gulskogen Senter,Handel / Annen handel,GULDLISTEN 35,Drammen,"NOK 56 mill.

0.4% av kjede","-4%

(%)","20

6981 i 447 lokasjoner","2.72%

i området"
#11,Kiwi Minipris Gulskogen,Handel / Mat og drikke,GULDLISTEN 35,Drammen,"NOK 49 mill.

0.1% av kjede","6%

(%)","13

14363 i 728 lokasjoner","2.38%

i området"
#12,Lichi AS,Handel / Klesbutikker,KNUD SCHARTUMS GATE 7,Drammen,"NOK 49 mill.

-","-14%

(%)","43

42 i 1 lokasjoner","2.4%

i området"
