"Category","Gulskogen stasjon (2.23)"
"0 NOK",221.03096447857365
"0 NOK - NOK 100k",227.99446920796845
"NOK 100k - NOK 200k",301.0955530079395
"NOK 200k - NOK 300k",318.38966474430106
"NOK 300k - NOK 400k",368.1259213642212
"NOK 400k - NOK 500k",256.2445933279633
"NOK 500k - NOK 600k",176.51501443850665
"NOK 600k - NOK 700k",103.85826626044583
"NOK 700k - NOK 800k",68.27838417234604
"NOK 800k - NOK 1 mill.",119.19441823932168
"NOK 1 mill. - NOK 1,5 mill.",13.605531579594825
"NOK 1,5 mill.+",8.937221213703864
