"DateTime","Gulskogen (Urbant område)","sumTransactionAmount","Gulskogen (Urbant område) (batchDate)"
"Uke 1, 2019","Uke 1, 2019",7.718,"2018-12-31"
"Uke 2, 2019","Uke 2, 2019",10.071,"2019-01-07"
"Uke 3, 2019","Uke 3, 2019",10.474,"2019-01-14"
"Uke 4, 2019","Uke 4, 2019",9.549,"2019-01-21"
"Uke 5, 2019","Uke 5, 2019",8.556,"2019-01-28"
"Uke 6, 2019","Uke 6, 2019",8.632,"2019-02-04"
"Uke 7, 2019","Uke 7, 2019",9.838,"2019-02-11"
"Uke 8, 2019","Uke 8, 2019",9.988,"2019-02-18"
"Uke 9, 2019","Uke 9, 2019",9.67,"2019-02-25"
"Uke 10, 2019","Uke 10, 2019",9.127,"2019-03-04"
"Uke 11, 2019","Uke 11, 2019",10.111,"2019-03-11"
"Uke 12, 2019","Uke 12, 2019",10.376,"2019-03-18"
"Uke 13, 2019","Uke 13, 2019",10.794,"2019-03-25"
"Uke 14, 2019","Uke 14, 2019",10.002,"2019-04-01"
"Uke 15, 2019","Uke 15, 2019",11.025,"2019-04-08"
"Uke 16, 2019","Uke 16, 2019",8.357,"2019-04-15"
"Uke 17, 2019","Uke 17, 2019",11.562,"2019-04-22"
"Uke 18, 2019","Uke 18, 2019",10.362,"2019-04-29"
"Uke 19, 2019","Uke 19, 2019",11.766,"2019-05-06"
"Uke 20, 2019","Uke 20, 2019",12.14,"2019-05-13"
"Uke 21, 2019","Uke 21, 2019",12.429,"2019-05-20"
"Uke 22, 2019","Uke 22, 2019",10.47,"2019-05-27"
"Uke 23, 2019","Uke 23, 2019",12.625,"2019-06-03"
"Uke 24, 2019","Uke 24, 2019",14.02,"2019-06-10"
"Uke 25, 2019","Uke 25, 2019",19.785,"2019-06-17"
"Uke 26, 2019","Uke 26, 2019",15.314,"2019-06-24"
"Uke 27, 2019","Uke 27, 2019",14.267,"2019-07-01"
"Uke 28, 2019","Uke 28, 2019",11.427,"2019-07-08"
"Uke 29, 2019","Uke 29, 2019",12.213,"2019-07-15"
"Uke 30, 2019","Uke 30, 2019",9.725,"2019-07-22"
"Uke 31, 2019","Uke 31, 2019",11.713,"2019-07-29"
"Uke 32, 2019","Uke 32, 2019",12.783,"2019-08-05"
"Uke 33, 2019","Uke 33, 2019",15.123,"2019-08-12"
"Uke 34, 2019","Uke 34, 2019",12.452,"2019-08-19"
"Uke 35, 2019","Uke 35, 2019",11.769,"2019-08-26"
"Uke 36, 2019","Uke 36, 2019",12.007,"2019-09-02"
"Uke 37, 2019","Uke 37, 2019",12.218,"2019-09-09"
"Uke 38, 2019","Uke 38, 2019",11.762,"2019-09-16"
"Uke 39, 2019","Uke 39, 2019",12.51,"2019-09-23"
"Uke 40, 2019","Uke 40, 2019",11.89,"2019-09-30"
"Uke 41, 2019","Uke 41, 2019",12.425,"2019-10-07"
"Uke 42, 2019","Uke 42, 2019",15.753,"2019-10-14"
"Uke 43, 2019","Uke 43, 2019",11.264,"2019-10-21"
"Uke 44, 2019","Uke 44, 2019",11.759,"2019-10-28"
"Uke 45, 2019","Uke 45, 2019",12.25,"2019-11-04"
"Uke 46, 2019","Uke 46, 2019",14.117,"2019-11-11"
"Uke 47, 2019","Uke 47, 2019",14.729,"2019-11-18"
"Uke 48, 2019","Uke 48, 2019",21.481,"2019-11-25"
"Uke 49, 2019","Uke 49, 2019",15.755,"2019-12-02"
"Uke 50, 2019","Uke 50, 2019",26.37,"2019-12-09"
"Uke 51, 2019","Uke 51, 2019",36.474,"2019-12-16"
"Uke 52, 2019","Uke 52, 2019",10.331,"2019-12-23"
"Uke 1, 2020","Uke 1, 2020",10.645,"2019-12-30"
"Uke 2, 2020","Uke 2, 2020",11.392,"2020-01-06"
"Uke 3, 2020","Uke 3, 2020",11.2,"2020-01-13"
